code,city,hospName,hospID,hospAddress,latitude,longitude,hospTel
7,高雄市,洪耳鼻喉科診所,3542060401,高雄市大寮區中興里鳳林四路156號 ,22.616717,120.385792,7861305
7,高雄市,瑞生醫院,1542061148,高雄市大寮區中興里鳳林四路192號 ,22.617691,120.384874,7835175
7,高雄市,大統內兒科診所,3542062094,高雄市大寮區中興里鳳林四路56號 ,22.615085,120.387907,7836127
7,高雄市,高雄市大寮區衛生所,2342060013,高雄市大寮區永芳里進學路129巷2-1號 ,22.604531,120.393595,7811965
7,高雄市,張桐榮診所,3542061953,高雄市大寮區永芳里鳳林三路553號 ,22.6083,120.394756,7825382
7,高雄市,嘉德耳鼻喉科診所,3542062147,高雄市大寮區後庄里鳳屏一路441、443號 ,22.638162,120.395545,7022626
7,高雄市,圓明診所,3542062156,高雄市大寮區昭明里鳳林一路147號 ,22.541789,120.404208,6433298
7,高雄市,杏安診所,3542062290,高雄市大寮區琉球里林厝路53號1樓,22.614816,120.408203,7810565
7,高雄市,周俊仁診所,3507060061,高雄市大寮區會社里鳳林三路300號 ,22.601163,120.398303,7861168
7,高雄市,樂生婦幼醫院,1542061077,高雄市大寮區會社里鳳林三路532號 ,22.606815,120.395585,7862688
7,高雄市,宜和內兒科診所,3542060189,高雄市大寮區鳳林三路341號,22.601503,120.397711,7816825
7,高雄市,大新診所,3542060474,高雄市大寮區大寮路511號,22.592713,120.410694,7882651
7,高雄市,其靈診所,3507060105,高雄市大寮區鳳林三541號1-2樓,22.607652,120.395163,7823335
7,高雄市,尚文診所,3542071342,高雄市大樹區久堂里久堂路30號,22.659402,120.420754,6527978
7,高雄市,丰聯診所,3542070210,高雄市大樹區久堂里建村街74號,22.656555,120.41902,6519312
7,高雄市,立安診所,3542070149,高雄市大樹區水寮里中山路197號,22.6675,120.408996,6525768
7,高雄市,佛光聯合診所,3542071315,高雄市大樹區興田里興田路154號,22.747368,120.446597,6562605
7,高雄市,高雄市大樹區衛生所,2342070019,高雄市大樹區龍目路158號,22.68384,120.414039,6512935
7,高雄市,宏彰診所,3542071280,高雄市大樹區檨腳里中正一路423號,22.69468,120.434039,6527531
7,高雄市,大邱診所,3542070069,高雄市大樹區實踐街100號,22.687957,120.430037,6513888
7,高雄市,潔揚診所,3542070069,高雄市大樹區大樹里大樹路北巷14-7號,22.687957,120.430037,6510000
7,高雄市,康泰診所,3507380228,高雄市小港區大鵬路66號,22.567153,120.358627,8060308
7,高雄市,蔡坤霖小兒科診所,3502111956,高雄市小港區二苓路148號1樓,22.565546,120.350086,8030816
7,高雄市,洪清中兒科診所,3502110646,高雄市小港區二苓路192號1樓,22.56556,120.349061,8063773
7,高雄市,高雄市立小港醫院,1102110011,高雄市小港區山明里山明路482號,22.567467,120.363369,8036783
7,高雄市,明義診所,3502110593,高雄市小港區孔鳳路542號,22.582145,120.358821,7916959
7,高雄市,孔鳳診所,3507380111,高雄市小港區孔鳳路571號1樓,22.584112,120.358625,7910311
7,高雄市,羅錦泉診所,3502110146,高雄市小港區平和路105號,22.565559,120.333158,8314168
7,高雄市,朝陽耳鼻喉科診所,3507380040,高雄市小港區平和路146號,22.566856,120.332475,8311228
7,高雄市,大佑診所,3507380157,高雄市小港區平和路26-1號,22.564466,120.334183,8218162
7,高雄市,施晉南診所,3502110637,高雄市小港區平治街1號,22.56762,120.358186,8021622
7,高雄市,長慶小兒科診所,3507380068,高雄市小港區漢民路413號1樓,22.56701,120.357744,8068170
7,高雄市,鳳林診所,3502112060,高雄市小港區鳳林路93－1號,22.526373,120.346337,8720822
7,高雄市,安泰醫院,1502110064,高雄市小港區學府路111號,22.565234,120.36143,8017856
7,高雄市,大鵬診所,3507380200,高雄市小港區大鵬路144號,22.569102,120.358591,8013288
7,高雄市,戴銘浚婦兒醫院,1502111089,高雄市小港區宏平路661號,22.569572,120.351192,8061289
7,高雄市,王瑞琦耳鼻喉科診所,3502110762,高雄市小港區桂陽路172-1號,22.582066,120.355602,7930037
7,高雄市,欣誼診所,3507380246,高雄市小港區漢民路693-2號,22.567743,120.361622,8039222
7,高雄市,蔡定洲耳鼻喉科診所,3507080036,高雄市仁武區京吉一路76號,22.687576,120.337317,3756161
7,高雄市,仁武好心診所,3507080063,高雄市仁武區中正路301號1樓,22.702843,120.35307,3719895
7,高雄市,劉內兒科診所,3542080047,高雄市仁武區仁心路6號,22.681815,120.355907,3718727
7,高雄市,陽光診所,3542081348,高雄市仁武區中華路255號,22.700291,120.351551,3755500
7,高雄市,易生診所,3542080190,高雄市仁武區中華路306號,22.70044,120.352909,3746901
7,高雄市,廣安診所,3542080118,高雄市仁武區仁雄路13之19號,22.680803,120.354082,3718819
7,高雄市,仁雄診所,3507080090,高雄市仁武區仁雄路15之1號1樓,22.680719,120.353236,3741298
7,高雄市,揚善診所,3507080045,高雄市仁武區仁樂街180號,22.703644,120.347246,3758419
7,高雄市,仁里診所,3542080109,高雄市仁武區仁樂街202號,22.703728,120.347802,3729603
7,高雄市,仁同小兒科診所,3507080205,高雄市仁武區永仁街694號1樓,22.690505,120.331784,3734890
7,高雄市,高雄市仁武區衛生所,2342080015,高雄市仁武區地政街23號,22.700797,120.351568,3711434
7,高雄市,康寧診所,3507080223,高雄市仁武區京吉六路5號1-2樓,22.685241,120.342371,3720307
7,高雄市,長恩聯合診所,3542081231,高雄市仁武區仁忠路83號,22.677365,120.355785,3747975
7,高雄市,大林診所,3507080161,高雄市仁武區仁雄路９號,22.6808282,120.3541012,3718528
7,高雄市,馨寧好診所 ,3507080401,高雄市仁武區八德南路175號,22.6818274,120.3402118,3700270
7,高雄市, 冠宏家醫科診所,3507080410,高雄市仁武區八德南路570號,22.6761121,120.3409023,3716933
7,高雄市,翔賀診所,3507080312,高雄市仁武區京吉二路200號1樓,22.682986,120.340784,3735568
